Major Category,Type,Minor Category,Problem Code,Count
PLUMBING,NON EMERGENCY,BASIN/SINK,CABINET DAMAGED OR MISSING,1
ELECTRIC,EMERGENCY,LIGHTING,FIXTURE SPARKS WHEN TURNED ON,11007
ELECTRIC,HAZARDOUS,WIRING,EXPOSED,1
ELECTRIC,EMERGENCY,WIRING,OTHER,5143
ELECTRIC,EMERGENCY,BELL-BUZZER/INTERCOM,SYSTEM IS INOPERATIVE OR MISSING,19253
GENERAL,EMERGENCY,VENTILATORS,MECHANICAL NOT WORKING GARAGE,49
PAINT/PLASTER,EMERGENCY,CABINET,PEELING PAINT,535
PLUMBING,EMERGENCY,SHOWER-STALL,DRAIN PIPE CLOGGED,1654
GENERAL,NON EMERGENCY,SIGNAGE MISSING,SMOKE DETECTOR,209
ELECTRIC,EMERGENCY,LIGHTING,NO LIGHTS IN CELLAR / BASEMENT,104
NONCONST,EMERGENCY,ILLEGAL,OTHER,958
GENERAL,EMERGENCY,FIRE-ESCAPE,ADJOINING BUILDING OR PARTY WALL BALCONY DEMOLISHED,25
GENERAL,HAZARDOUS,WINDOWS,SASHES LOOSE OR RATTLING IN FRAME,3683
APPLIANCE,EMERGENCY,REFRIGERATOR,"MISSING, DEFECTIVE OR INOPERABLE",104
GENERAL,EMERGENCY,LOCKS,"APARTMENT ENTRANCE BROKEN, DEFECTIVE, MISSING",10255
SAFETY,EMERGENCY,WINDOW GUARD BROKEN/MISSING,CHILD UNDER 11,18336
GENERAL,IMMEDIATE EMERGENCY,FIRE-ESCAPE,BALCONY/ BASKET REMOVED,150
GENERAL,EMERGENCY,DOORS,OTHER,6584
ELECTRIC,EMERGENCY,LIGHTING,NO LIGHTS ON ONE FLOOR,14229
PLUMBING,EMERGENCY,WATER-LEAKS,INITIAL IN-PLACE INSPECTION,1
UNSANITARY CONDITION,NON EMERGENCY,PESTS,OTHER,33033
PLUMBING,EMERGENCY,TOILET,BOWL FLUSHOMETER IS BROKEN / MISSING,2278
NONCONST,NON EMERGENCY,RUBBISH,ACCUMULATION,76704
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,OTHER,4300
NONCONST,NON EMERGENCY,BOILER ROOM KEY,NO SIGNAGE INDICATING LOCATION,8
ELEVATOR,NON EMERGENCY,MAINTENANCE,GLASS OR MIRROR BROKEN,1008
PLUMBING,EMERGENCY,WATER SUPPLY,NO WATER,20179
OUTSIDE BUILDING,EMERGENCY,PAVEMENT,BROKEN OR CRACKED,1042
PLUMBING,EMERGENCY,WATER-LEAKS,FROM ROOF WHEN RAINING,15745
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,RANGE/OVEN BROKEN OR MISSING,762
GENERAL,NON EMERGENCY,DOORS,"BUILDING / VESTIBULE ENTRANCE, BROKEN, DEFECTIVE, MISSING",15236
DOOR/WINDOW,EMERGENCY,DOOR,NEEDS KEY FOR EXIT,9230
GENERAL,EMERGENCY,FIRE-ESCAPE,CLUTTERED BY DEBRIS / OBSTRUCTED,2134
UNSANITARY CONDITION,NON EMERGENCY,PESTS,MICE,106834
NONCONST,EMERGENCY,SMOKE-FUMES,FROM HEATING PLANT - SOOT,439
ELECTRIC,NON EMERGENCY,LIGHTING,FIXTURE MISSING/HANGING/LOOSE,38147
PLUMBING,EMERGENCY,TOILET,OTHER,2331
PAINT/PLASTER,NON EMERGENCY,CEILING,DIRTY OR UNSANITARY,42705
CONSTRUCTION,EMERGENCY,RAIN LEADER,OTHER,18
PLUMBING,EMERGENCY,SEWER,OTHER,326
NONCONST,NON EMERGENCY,VERMIN,FLEAS,2718
DOOR/WINDOW,EMERGENCY,DOOR,NOT SELF-CLOSING,9579
